"SchoolYear","ESD","CountyNumber","County","CountyDistrictNumber","District","GradeTested","ReadingTotalTestedNotTested","ReadingTotalMSP_HSPETested","ReadingMetStandardIncludingPrevPass","ReadingPercentMetStandardIncludingPrevPass","ReadingMetStandardWithoutPrevPass","ReadingPercentMetStandardWithoutPrevPass","ReadingPercentMetStandardExcludingNoScore","ReadingLevel1","ReadingPercentLevel1","ReadingLevel2","ReadingPercentLevel2","ReadingLevelBasic","ReadingPercentLevelBasic","ReadingLevel3","ReadingPercentLevel3","ReadingLevel4","ReadingPercentLevel4","ReadingNoScore","ReadingPercentNoScore","ReadingNotMet","ReadingPercentNotMet","ReadingExcusedAbsence","ReadingExempted","ReadingWAASPORT","ReadingWAASDAPE","MathTotalTestedNotTested","MathTotalMSP_HSPETested","MathMetStandardIncludingPrevPass","MathPercentMetStandardIncludingPrevPass","MathMetStandardWithoutPrevPass","MathPercentMetStandardWithoutPrevPass","MathPercentMetStandardExcludingNoScore","MathLevel1","MathPercentLevel1","MathLevel2","MathPercentLevel2","MathLevelBasic","MathPercentLevelBasic","MathLevel3","MathPercentLevel3","MathLevel4","MathPercentLevel4","MathNoScore","MathPercentNoScore","MathNotMet","MathPercentNotMet","MathExcusedAbsence","MathExempted","MathWAASPORT","MathWAASDAPE","WritingTotalTestedNotTested","WritingTotalMSP_HSPETested","WritingMetStandardIncludingPrevPass","WritingPercentMetStandardIncludingPrevPass","WritingMetStandardWithoutPrevPass","WritingPercentMetStandardWithoutPrevPass","WritingPercentMetStandardExcludingNoScore","WritingLevel1","WritingPercentLevel1","WritingLevel2","WritingPercentLevel2","WritingLevelBasic","WritingPercentLevelBasic","WritingLevel3","WritingPercentLevel3","WritingLevel4","WritingPercentLevel4","WritingNoScore","WritingPercentNoScore","WritingNotMet","WritingPercentNotMet","WritingExcusedAbsence","WritingExempted","WritingWAASPORT","WritingWAASDAPE","ScienceTotalTestedNotTested","ScienceTotalMSP_HSPETested","ScienceMetStandardIncludingPrevPass","SciencePercentMetStandardIncludingPrevPass","ScienceMetStandardWithoutPrevPass","SciencePercentMetStandardWithoutPrevPass","SciencePercentMetStandardExcludingNoScore","ScienceLevel1","SciencePercentLevel1","ScienceLevel2","SciencePercentLevel2","ScienceLevelBasic","SciencePercentLevelBasic","ScienceLevel3","SciencePercentLevel3","ScienceLevel4","SciencePercentLevel4","ScienceNoScore","SciencePercentNoScore","ScienceNotMet","SciencePercentNotMet","ScienceExcusedAbsence","ScienceExempted","ScienceWAASPORT","ScienceWAASDAPE","ReadingLevelIndex","MathLevelIndex"
"2009-10","Educational Service District 101","01","Adams","01109","Washtucna School District",3,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",,
"2009-10","Educational Service District 101","01","Adams","01109","Washtucna School District",4,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",,
"2009-10","Educational Service District 101","01","Adams","01109","Washtucna School District",5,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,"NA",,
"2009-10","Educational Service District 101","01","Adams","01109","Washtucna School District",6,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",,
"2009-10","Educational Service District 101","01","Adams","01109","Washtucna School District",7,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",,
"2009-10","Educational Service District 101","01","Adams","01109","Washtucna School District",8,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"NA",,
"2009-10","Educational Service District 101","01","Adams","01109","Washtucna School District",10,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,"NA",,
"2009-10","Educational Service District 101","01","Adams","01122","Benge School District",5,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,"NA",,
"2009-10","Educational Service District 123","01","Adams","01147","Othello School District",3,291,290,144,49.39,144,49.39,49.7,65,22.3,81,27.8,3,1,90,30.89,51,17.5,1,0.3,147,50.5,0,4,1,,292,291,155,53,155,53,53.3,73,25,63,21.5,4,1.3,95,32.5,56,19.1,1,0.3,137,46.89,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.41,2.42
"2009-10","Educational Service District 123","01","Adams","01147","Othello School District",4,274,274,119,43.39,119,43.39,43.4,53,19.3,102,37.2,4,1.39,69,25.1,46,16.69,0,0,155,56.5,0,0,5,,274,274,107,39,107,39,39.1,97,35.39,70,25.5,0,0,62,22.6,45,16.39,0,0,167,60.89,0,0,5,,274,267,119,43.39,119,43.39,44.6,72,26.19,76,27.69,1,0.3,82,29.89,36,13.09,7,2.5,155,56.5,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.36,2.2
"2009-10","Educational Service District 123","01","Adams","01147","Othello School District",5,283,282,130,45.89,130,45.89,46.1,51,18,101,35.6,3,1,64,22.6,63,22.19,1,0.3,153,54,0,1,8,,283,283,121,42.7,121,42.7,42.8,89,31.39,73,25.69,1,0.3,80,28.19,40,14.09,0,0,162,57.2,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,283,282,67,23.6,67,23.6,23.8,114,40.2,101,35.6,1,0.3,53,18.69,13,4.5,1,0.3,216,76.29,0,1,8,"NA",2.46,2.24
"2009-10","Educational Service District 123","01","Adams","01147","Othello School District",6,275,274,119,43.2,119,43.2,43.4,70,25.39,85,30.89,0,0,94,34.1,25,9,1,0.3,156,56.7,0,1,2,,275,274,97,35.2,97,35.2,35.4,105,38.1,72,26.1,0,0,74,26.89,23,8.3,1,0.3,178,64.7,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.25,2.04
"2009-10","Educational Service District 123","01","Adams","01147","Othello School District",7,277,276,145,52.29,145,52.29,52.5,48,17.3,83,29.89,5,1.8,83,29.89,57,20.5,1,0.3,132,47.6,2,6,3,,277,275,157,56.6,157,56.6,57.1,70,25.19,48,17.3,2,0.7,96,34.6,59,21.19,2,0.7,120,43.29,2,6,3,,276,268,177,64.09,177,64.09,66,29,10.5,62,22.39,2,0.7,95,34.39,80,28.89,8,2.79,99,35.79,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.49,2.48
"2009-10","Educational Service District 123","01","Adams","01147","Othello School District",8,244,240,162,66.29,162,66.29,67.5,31,12.69,47,19.19,1,0.4,58,23.69,103,42.2,4,1.6,82,33.6,0,2,4,,244,240,131,53.6,131,53.6,54.6,56,22.89,53,21.69,3,1.19,79,32.29,49,20,4,1.6,113,46.29,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,244,239,88,36,88,36,36.8,78,31.89,73,29.89,0,0,75,30.69,13,5.29,5,2,156,63.89,0,2,4,"NA",2.91,2.43
"2009-10","Educational Service District 123","01","Adams","01147","Othello School District",10,242,236,180,74.3,180,74.29,76.3,28,11.5,28,11.5,5,2,69,28.5,106,43.79,6,2.39,62,25.6,8,3,3,,248,229,69,27.8,69,27.8,30.1,112,45.1,48,19.3,0,0,45,18.1,24,9.59,19,7.59,179,72.09,0,5,3,,239,233,209,87.4,209,87.4,89.7,10,4.09,14,5.79,11,4.59,86,35.89,112,46.79,6,2.5,30,12.5,9,5,3,,248,217,64,25.8,64,25.8,29.5,123,49.5,30,12,1,0.4,57,22.89,6,2.39,31,12.5,184,74.09,0,5,3,"NA",2.95,1.76
"2009-10","Educational Service District 101","01","Adams","01158","Lind School District",3,19,19,16,84.2,16,84.2,84.2,2,10.5,1,5.2,0,0,8,42.1,8,42.1,0,0,3,15.69,0,0,,,19,19,11,57.79,11,57.79,57.9,1,5.2,7,36.79,0,0,7,36.79,4,21,0,0,8,42.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",3.16,2.73
"2009-10","Educational Service District 101","01","Adams","01158","Lind School District",4,13,13,8,61.5,8,61.5,61.5,1,7.59,4,30.69,0,0,2,15.3,6,46.1,0,0,5,38.39,0,0,,,13,13,5,38.39,5,38.39,38.5,5,38.39,3,23,0,0,4,30.69,1,7.59,0,0,8,61.5,0,0,,,13,12,9,69.2,9,69.2,75,1,7.59,2,15.3,0,0,7,53.79,2,15.3,1,7.59,4,30.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.99,2.07
"2009-10","Educational Service District 101","01","Adams","01158","Lind School District",5,12,12,6,50,6,50,50,2,16.6,4,33.29,0,0,2,16.6,4,33.29,0,0,6,50,0,0,,,12,12,6,50,6,50,50,4,33.29,2,16.6,0,0,5,41.6,1,8.3,0,0,6,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,2,16.6,2,16.6,16.7,4,33.29,6,50,0,0,2,16.6,0,0,0,0,10,83.29,0,0,,"NA",2.66,2.24
