"district","year","total.revenue","total.revenue.per.pupil","local.revenue.per.pupil","local.percent.total.revenue","state.revenue.per.pupil","state.percent.total.revenue","federal.revenue.per.pupil","federal.percent.total.revenue","other.revenue.per.pupil","other.percent.total.revenue"
"Aberdeen School District","2009-10",36249014,10777.68,1611.64,15,7048.93,65.4,2025.1,18.8,92.02,0.9
"Adna School District","2009-10",5441116,9352.85,1303.83,13.9,6687.39,71.5,1282.4,13.7,79.23,0.8
"Almira School District","2009-10",2146450,32910.92,3309.8,10.1,26282.95,79.9,3244.85,9.9,73.32,0.2
"Anacortes School District","2009-10",26898296,9970.12,3075.75,30.8,5996.01,60.1,851.53,8.5,46.84,0.5
"Arlington School District","2009-10",47174805,8862.7,2003.03,22.6,6099.83,68.8,741.01,8.4,18.82,0.2
"Asotin-Anatone School District","2009-10",6522974,10340.63,1861.12,18,7178.43,69.4,1301.08,12.6,0,"-"
"Auburn School District","2009-10",134696828,9403.84,2013.79,21.4,6108.37,65,1216.31,12.9,65.37,0.7
"Bainbridge Island School District","2009-10",36934695,9501.5,2758.23,29,6182.17,65.1,549.64,5.8,11.46,0.1
"Battle Ground School District","2009-10",111308515,8593.22,1276.73,14.9,6293.07,73.2,1018.22,11.8,5.21,0.1
"Bellevue School District","2009-10",171293033,10012.78,3062.48,30.6,5928.19,59.2,828.09,8.3,194.02,1.9
"Bellingham School District","2009-10",100059399,9621.45,2357.42,24.5,6181.9,64.3,1003.33,10.4,78.8,0.8
"Benge School District","2009-10",403906,59573.17,4067,6.8,52639.45,88.4,2866.72,4.8,0,"-"
"Bethel School District","2009-10",160119934,9348.47,1694.35,18.1,6394.14,68.4,1246.1,13.3,13.88,0.1
"Bickleton School District","2009-10",1669834,19110.02,848.54,4.4,17346.13,90.8,854.4,4.5,60.95,0.3
"Blaine School District","2009-10",20582664,9772.93,2459.99,25.2,6357.59,65.1,946.58,9.7,8.76,0.1
"Boistfort School District","2009-10",1292896,15457.86,3754.09,24.3,9500.67,61.5,2177.94,14.1,25.17,0.2
"Bremerton School District","2009-10",53525931,10210.8,2228.76,21.8,6486.19,63.5,1490.46,14.6,5.39,0.1
"Brewster School District","2009-10",10009357,10598.19,998.7,9.4,6969.53,65.8,2601.24,24.5,28.73,0.3
"Bridgeport School District","2009-10",7702642,10063.02,292.67,2.9,7163.15,71.2,2607.21,25.9,0,"-"
"Brinnon School District","2009-10",892653,27825.84,8651.57,31.1,15090.19,54.2,4069.26,14.6,14.81,0.1
"Burlington-Edison School District","2009-10",37026487,9630.05,1962.66,20.4,6390.4,66.4,1244.26,12.9,32.73,0.3
"Camas School District","2009-10",49955117,8860.87,2148.77,24.3,6113.62,69,575.79,6.5,22.7,0.3
"Cape Flattery School District","2009-10",7864855,17557.83,943.58,5.4,9367.17,53.4,7235.76,41.2,11.32,0.1
"Carbonado School District","2009-10",1927043,11115.85,2960.66,26.6,6988.72,62.9,1166.47,10.5,0,"-"
"Cascade School District","2009-10",11213494,9443.82,1971.58,20.9,6492.15,68.7,980.09,10.4,0,"-"
"Cashmere School District","2009-10",12817851,9076.9,1359.72,15,6283.78,69.2,1429.66,15.8,3.74,0
"Castle Rock School District","2009-10",13131564,9695.48,1794.9,18.5,6451.18,66.5,1401.72,14.5,47.69,0.5
"Centerville School District","2009-10",958019,11698.85,2081.24,17.8,8009.12,68.5,1454.3,12.4,154.2,1.3
"Central Kitsap School District","2009-10",113101044,9899.3,1575.03,15.9,6444.01,65.1,1819.47,18.4,60.79,0.6
"Central Valley School District","2009-10",111135103,9146.43,1812.79,19.8,6284.68,68.7,1045.42,11.4,3.54,0
"Centralia School District","2009-10",32727753,9729.95,1497.74,15.4,6386.57,65.6,1593.83,16.4,251.81,2.6
"Chehalis School District","2009-10",27585820,9802.58,1475.9,15.1,6632.05,67.7,1165.16,11.9,529.47,5.4
"Cheney School District","2009-10",37897236,9821.04,1901.63,19.4,6601.35,67.2,1267.38,12.9,50.67,0.5
"Chewelah School District","2009-10",9653478,10229.61,1271.78,12.4,7052,68.9,1741.76,17,164.07,1.6
"Chimacum School District","2009-10",11151155,10017.21,2081.99,20.8,6225.98,62.2,1549.75,15.5,159.49,1.6
"Clarkston School District","2009-10",26793891,9860.34,1377.05,14,6484.84,65.8,1994.46,20.2,3.98,0
"Cle Elum-Roslyn School District","2009-10",8256241,9160.88,2023.01,22.1,6227.97,68,909.9,9.9,0,"-"
"Clover Park School District","2009-10",134274333,11579.35,1796.38,15.5,6800.16,58.7,2945.03,25.4,37.78,0.3
"Colfax School District","2009-10",6092011,9682.62,1786.93,18.5,6820.65,70.4,1045.72,10.8,29.31,0.3
"College Place School District","2009-10",8458844,11918.73,2994.2,25.1,6740.72,56.6,2146.52,18,37.3,0.3
"Colton School District","2009-10",2691170,15485.19,3168.57,20.5,11047.28,71.3,1260.27,8.1,9.07,0.1
"Columbia (Stevens) School District","2009-10",3376014,16723.7,666.61,4,11911.68,71.2,3902.87,23.3,242.55,1.5
